Período;Ano;Semestre;Componente Curricular;CH;CH_SUAP;Créditos;Nota;Frequência;Situação
7;;;Sistemas Operacionais I;60;50,00;60;;;Não Cursado
7;;;Projeto de Software Orientado a Objetos;60;50,00;60;;;Não Cursado
7;;;Programação Orientada a Objetos II;60;50,00;60;;;Não Cursado
7;;;Sistemas Digitais;60;50,00;60;;;Não Cursado
7;;;Computação, Sociedade e Inclusão;60;50,00;60;;;Não Cursado
7;2025;2;Redes de Computadores I;60;50,00;60;8,5;95;Aprovado
8;2026;1;Metodologia Cientifica e Tecnológica;40;33,33;40;10,0;100;Aprovado
8;;;Segurança e Higiene do Trabalho;80;66,66;80;;;Não Cursado
8;;;Sistemas Operacionais II;60;50,00;60;;;Não Cursado
8;;;Arquitetura de Computadores;60;50,00;60;;;Não Cursado
8;2026;1;Redes de Computadores II;60;50,00;60;9,0;100;Aprovado
8;2026;1;Microcontroladores;60;50,00;60;10,0;100;Aprovado
9;;;Direito, Ética e Cidadania;60;50,00;60;;;Não Cursado
9;;;Projeto Final de Curso I;80;66,66;80;;;Não Cursado
9;;;Empreendedorismo;40;33,33;40;;;Não Cursado
9;;;Sistemas Embarcados;60;50,00;60;;;Não Cursado
9;;;Sistemas Distribuídos;60;50,00;60;;;Não Cursado
10;;;Projeto Final de Curso II;80;66,66;80;;;Não Cursado
;2026;1;Gestão de Projetos;96;80,00;96;10,0;100;Aprovado
